作品中文名稱,作品英文名稱,年份,客戶資訊,作品敘述,作品照片檔案名稱
可口可樂亞洲印象,Creation show for Coca-Cola,2000,Exhibition,結繩 ● 奧林匹克1996可口可樂亞洲印象活動海報 記事 ●  一瓶可樂，一個記憶 NOTE  ● 圖像找樂子,poster58.jpg
焚松,Burning the Juniper Branches,2000,Performance | Client: Cloud Gate Dance Theatre,結繩 ● 問天，祈福 ，和石共舞 記事 ● 藏密的梵唱， NOTE  ● 隨著圖像的意念轉成，瞬時燃燒為幻像,poster59.jpg
敏隆講堂,Minlong Lecture,2000,Image | Client: Hong's Foundation for Education and Culture,結繩 ● 木栓與木栓之間是其企業的精神   記事 ● 基金會長期推動文化教育   NOTE ● 異質是發想圖像意念最好的臨摹,poster60.jpg
早安 台北,"Cities, Discoveries Poster Exhibition",2000,Exhibition | Client: Festival of Vision - Hong Kong - Berlin,結繩 ● 台北為盆地地形 ● 101摩天大摟為台北地標 記事 ● 北緯 25.1 度， 東經 121.2 度， 海拔 48 米 ● 平均溫度約為攝氏 22 度  NOTE ● 圖像的幽默是想像的翅膀,poster61.jpg
林克昌與NSO,Kek-Tjiang Lim & NSO,2001,Performance | Client: National Symphony Orchestra,結繩 ● 記事 ● 黃土地上的貝多芬   NOTE ● 林克昌？多數人不認識他,poster62.jpg
竹夢,Bamboo Dream,2001,Performance | Client: Cloud Gate Dance Theatre,結繩 ● 林中充滿著變化，晨霧、春風、夏喧、秋徑、冬雪與雨霽、午夜 記事  ● 竹中的人、獸、風、動和嬉戲 NOTE ● 圖像有低矮似草，又有高大如樹,poster63.jpg
安倍圭子,Keiko Abe: Prism Rhapsody,2001,Performance | Client: National Symphony Orchestra,結繩 ● 日本木琴演奏家  記事 ● 兩隻手擊六支琴槌 NOTE ● 變化的手充滿著圖像的魔法,poster64.jpg
頌,The Nouveau Salon Des Cent Exposition Internationale D'affichs- Hommage À Toulous- Lautrec,2001,Exhibition | Client: Nouveau Salon Des Cent,,poster65.jpg
發現貝多芬,The Beethoven Cycle,2001,Performance | Client: National Symphony Orchestra,結繩 ● 發現系列 貝多芬九大交響曲及五首鋼琴協奏曲 記事 ● 身患耳疾的貝多芬被尊稱為樂聖 NOTE ● 貝多芬是魔鬼附身,poster66.jpg
行草,Cursive,2001,Performance | Client: Cloud Gate Dance Theatre,結繩 ● 以書法為靈感的系列舞作，行草三部曲的首篇  記事 ● 以書法引以意，氣由內而外，肉身運筆，以舞抒情  NOTE ● 傳統圖像的材料可以被重塑成為新的力氣,poster67.jpg
永遠的微笑,"She is Walking, She is Smiling!",2002,Performance | Stan Lai | Client: Performance Workshop Theatre Taiwan,結繩 ● 情感寓言 記事 ● 隱藏在每一張臉背後的真情故事  NOTE ● 母親讓他擁有滿天微笑的星星，永遠地在他的身旁－小王子,poster68.jpg
時代的容顏,Visual Identity for Faces of the Time,2002,Festival | Client: Council for Cultural Affairs Executive Yuan,結繩 ● 時代的容顏 衣party服裝藝術展 記事 ● 穿針引線  NOTE ● 每一個人很真實，但每一個人都需要美麗的伸展台 ,poster69.jpg
孽子,The Book of Crystal Boys,2002,Book | Tsao Jui-Yuan | Client: TTV Culture Company,結繩 ● 同志故事   記事 ● 經典的文學 戲劇 ● 神，都跟人差不多，其實都有情慾的特徵 NOTE ● 人其實都是卑微的，都有愛、慈悲與善良,poster70.jpg
浮士德天譴,La damnation de Faust at the National Concert Hall,2003,Performance | Client: National Symphony Orchestra,結繩 ● 白遼士：歌劇《浮士德的天譴》  記事 ● 一個無底的深淵，墜落的是理性還是欲望   NOTE ● 誘人的交易，獲利的是神還是魔鬼,poster71.jpg
薪傳,Legacy,2003,Performance | Client: Cloud Gate Dance Theatre,結繩 ● 薪傳159場表演 ● 1978中美斷交首演 記事 ● 唐山、渡海、拓荒、野地的祝福、死亡與新生、耕種與豐收、節慶  NOTE ● 台灣加油,poster72.jpg
台灣之歌,Visual Identity for Songs of Taiwan,2003,Festival | Client: National Cultural Association,結繩 ● 每個時代，都有屬於自己的歌   記事 ●  台灣四周環海 板塊擠壓而隆起的島嶼，整體形狀恰似鯨魚  NOTE ● 福爾摩沙，美麗的名字,poster73.jpg
兩廳院售票系統,Visual Identity for NTCH Ticketing Service,2003,"Image | Client: National Chiang Kai-Shek Cultural Center, R.O.C",結繩 ● 國家戲劇院與國家音樂廳簡稱家兩廳院 記事 ● 兩廳院售票網 印象 ● 台灣最重要的藝文表演機構之一  NOTE ● 圖像的符號和環境的關係,poster74.jpg
瓦汀．列賓與NSO,NSO On Stage with Vadim Repin,2003,Performance | Client: National Symphony Orchestra,結繩 ● 小提琴瓦汀．列賓 ● 蕭斯塔可維奇第一號小提琴協奏曲 記事 ● 定期系列揭開謎題  NOTE ● 圖像概念相對刺激了圖像的發想,poster75.jpg
台灣印象,Taiwan Image -The Beauty of Taiwan,2003,Image | Client: Council for Cultural Affairs Executive Yuan,結繩 ● 台灣的人文藝術 ● 國際文化交流的台灣印象（英日文版） 記事 ● 美麗沈靜的藍色的語言遊走世界海岸  NOTE ● 以人文海洋的觀點看台灣藝術,poster76.jpg
馬勒-大地之歌,G. Mahler: Symphony Das Lied von der Erde,2004,Performance | Wen-Ping Chien | Client: National Symphony Orchestra,記事 ● 馬勒系列 ● 作品中特別地使用了中國主題 結繩 ● 馬勒晚年的心境反射，創作時間在第8號交響曲之後 NOTE ● 下馬飲君酒，問君何所之；君言不得意......,poster77.jpg
台北建城一百二十週年,Visual Identity for Taipei 120th Anniversary,2004,Festival | Client: Taipei City Government,結繩 ● 心  安自古城，夢 航向像世界   記事 ● 城牆石即是北門基座磚石厚達2尺 NOTE ● 120年前時舊古城就是現在新101大樓,poster78.jpg
孤戀花,Love's Lone Flower,2004,Film | Tsao Jui-Yuan | Client: TSAO Films Production,結繩 ● 青春蝴蝶孤戀花 ● 女性電影 記事 ● 訴盡女人的愛與絕望 NOTE ● 風微微　風微微　孤單悶悶在池邊 水蓮花滿滿是.........,poster79.jpg
馬勒-生命的回答,G. Mahler: Symphony No.2,2004,Performance | Client: National Symphony Orchestra,結繩 ● 馬勒系列 ● 第二交響曲「復活」 記事 ● 馬勒，我夢見自己被擊倒而昏死在花園與花朵之下 NOTE ● 聲音，彷彿來自另一個世界，我想沒有任何人能抗拒這種聲音,poster80.jpg
冊,Eslite Bookstore 15th Anniversary,2004,Festival | Client: Eslite Bookstore,結繩 ● 結繩記事  記事 ● 冊是文字的裝幀   NOTE ● 線裝書的防蟲危害秘方上寫著「勤讀」二字,poster81.jpg
賴聲川,Visual Identity for Performing Arts Review- Stan Lai,2004,Image | Client: Performing Arts Review,結繩 ● 人物 記事 ●  適切地攝像人物的人生感悟 NOTE ● 才氣以外，平凡可敬的一面,poster82.jpg
NSO 發現馬勒,NSO Bernstein's Young People's Concert: Who is Gustav Mahler?,2004,Performance | Client: National Symphony Orchestra,結繩 ● 古斯塔夫·馬勒1860－1911，奧地利浪漫主義作曲家 記事 ● 發現馬勒系列 ● 十首交響曲是馬勒一生思索與救贖  NOTE ● 漫畫馬勒，馬勒風潮,poster83.jpg
馬勒-愛在雲端中,G. Mahler: Symphony No.5,2004,Performance | Wen-Ping Chien | Client: National Symphony Orchestra,結繩 ● 馬勒系列 ● 第五號交響曲   記事 ● 慢板樂章是蜜意濃情中的馬 勒送給愛侶艾 瑪的定情信物  NOTE ● 我的時代終將來臨！馬勒不可一世的豪情與執著,poster84.jpg
狂草,Wild Cursive,2005,Performance | Client: Cloud Gate Dance Theatre,結繩 ● 行草三部曲狂草，行草、行草 貳  記事 ● 懷素的自敘帖 ● 忽然絕叫三五聲，滿壁縱橫千萬字 NOTE ● 有如行雲流水，驟雨旋風的境界,poster85.jpg
法斯塔夫,"Falstaff by G. VERDI, National Symphony Orchestra",2005,Performance | Client: National Symphony Orchestra,結繩 ● 歌劇系列 ● 威爾第歌劇 ● 人間本是一場喜劇  記事 ● 好色的法斯塔夫爵士如何受到婦女們的捉弄  NOTE ● 感受圖像的天分，是吃老天爺的飯,poster86.jpg
工藝大展,An Exhibition of Handcraftsmanship,2005,Festival | Client: Council for Cultural Affairs Executive Yuan,結繩 ● 頂真精神 ● 台灣生活工藝運動大展 記事  ● 手的勞動，心的感動  NOTE ● 匠師工藝的精神今天不容易看到這麼堅固,poster87.jpg
風影,Wind Shadow,2006,Performance | Client: Cloud Gate Dance Theatre,結繩 ● 以視覺編舞語言，專為風影舞蹈創作的火藥圖像   記事 ● 火與煙中茫然行進，困於黑雪的網路中，最終被黑洞吞噬  NOTE ● 我們不要老攪在洗衣機裡,poster88.jpg
歌劇系列海報 「費加洛的婚禮」,W.A. Mozart: Le Nozze de Figaro,2006,Performance | Client: National Symphony Orchestra,結繩 ●  莫札特歌劇 ●  阿瑪迪斯狂想世界   記事 ●  賴聲川加簡文彬錯綜的組合 NOTE ● 賣點？加了分還是減了分？,poster89.jpg
暗戀桃花源,Secret Love In Peach Blossom Land,2006,Performance | Stan Lai | Client: Performance Workshop Theatre Taiwan,結繩 ●  戲中戲，一下是追逐暗戀，一下是追尋桃花源 記事 ● 回味再三、加上加明華園 ● 四次演出挑戰小巨蛋 NOTE ● 桃花源在等待暗戀的浸泡,poster90.jpg
尼貝龍指環,"Der Ring des Nibelungen, Symphony Orchestra",2006,Performance | Client: National Symphony Orchestra,結繩 ● 從一只指環引爆權力，愛情誓約背叛的悽豔神話  記事 ● 華格納尼貝龍 ● 全本尼貝龍指環 萊茵的黃金 女武將  齊格菲  諸神的黃昏  NOTE ● 德國Das Orchestra 報導指環在台北,poster91.jpg
古典動物園,nso forever tales carnival of animals,2007,Performance | Client: National Symphony Orchestra,結繩 ● 永遠的童話  記事 ● 聖桑組曲動物狂歡節，浦羅柯菲夫彼得與狼 NOTE ● 如果彼得沒捉到大灰狼，將會怎麼樣呢？,poster92.jpg
台灣喜,Taiwan Double Happiness,2007,Concept | Client: Liu Kai’s Creation and Development,結繩 ● 花田喜事花芳香 記事 ● 台灣喜，好事近  NOTE ● 見花而笑 人而見喜,poster93.jpg
泰國潑水節,South East Asian Cultural Activities Series-Tailand Water Festival,2007,Festival | Client: Rerum Novarum Center,結繩 ● 泰、緬的節慶  記事 ● 相互潑水，為對方洗淨舊年的霉氣與穢氣，以潔淨迎接新的一年 NOTE ● 人文潑水 ● 傣曆的六月作為一年圓滿的起始,poster94.jpg
功夫灌籃,Kung Fu Dunk,2008,"Film | Kevin Chu | Chang-Hong Channel Film & Video Co., Ltd.",結繩 ● 訴求呼之欲出的前導策略 記事  ● 即將開打 ● 籃球卻有一個不為人知的秘密，那就是... NOTE ● 魔幻般的英雄臉部表情,poster95.jpg
停車,Parking,2008,Film | Meng-hong Zhong | Cream Production,結繩 ● 找到停車格，不要以為很幸運 ● 黑色喜劇 記事 ● 法國坎城影展 一種注目 NOTE ● 滿嘴魚刺，請問你說的是什麼意思?,poster96.jpg
屋漏痕,Water Stains on the wall,2010,Performance | Client: Cloud Gate Dance Theatre,結繩 ● 傾斜八度，白色舞台出現既似浮雲又如潑墨的暗影  記事 ● 屋漏痕是雨水經過時間滲透，在屋牆面壁滲出的痕跡  NOTE ● 夏雲，飛鳥，驚蛇 ● 東方的身體呈現出一切事物的美麗,poster97.jpg
如果沒有你,How Can I Live on Without You,2011,Performance | Client: Cloud Gate Dance Theatre,記事 ● 三○年代白光的不能沒有你， 一至現今台灣的流行歌曲入舞  結繩 ● 歌似像美麗飛翔的蝴蝶，舞似像一朵靛放的花 NOTE ● 圖像隨著婀娜的裙襬搖搖，跳起情歌,poster98.jpg
妙法自然,Ingenuity Follows,2011,"Exhibition | Client: Chen, Jun-Liang Freeman Lau",結繩 ● 老子道法自然，多加一點詼諧溝通 ●  劉美麗愛生氣 記事 ● 妙法自然，亞洲文創跨界創作展－海報設計展  NOTE ● 美醜沒有，只有好壞,poster99.jpg
